按鄉鎮市區別分_By_Township_City_District,常住人口數_總計_人_Number_of_resident_population_Grand_total_person,常住人口數_男_人_Number_of_resident_population_Male_person,常住人口數_女_人_Number_of_resident_population_Female_person,土地面積_平方公里_Total_land_area_km2,人口密度_Population_density
　臺北市,2594581,1213224,1381357,271.8,9545.9
　Taipei City,,,,,
松山區,184959,81685,103274,9.3,19914.2
　　Songshan District,,,,,
信義區,219635,102641,116994,11.2,19596.8
　　Xinyi District,,,,,
大安區,283096,131452,151644,11.4,24917.4
　　Da'an District,,,,,
中山區,236457,110289,126168,13.7,17282.2
　　Zhongshan District,,,,,
中正區,150188,71757,78431,7.6,19743.1
　　Zhongzheng District,,,,,
大同區,115513,53490,62023,5.7,20331.4
　　Datong District,,,,,
萬華區,181122,85958,95164,8.9,20460.7
　　Wanhua District,,,,,
文山區,272715,129389,143326,31.5,8655.1
　　Wenshan District,,,,,
南港區,127882,62150,65732,21.8,5854.8
　　Nangang District,,,,,
內湖區,283100,132112,150988,31.6,8964.9
　　Neihu District,,,,,
士林區,291846,137488,154358,62.4,4679.4
　　Shilin District,,,,,
北投區,248068,114813,133255,56.8,4365.7
　　Beitou District,,,,,
